task,rnn_type,hidden_size,num_layers,bidirectional,dropout,lr,batch_size,optimizer,epochs,train_acc,test_acc,duration_sec,retcode
mnist,lstm,256,2,True,0.2,0.001,128,adam,15,0.9945,0.9877,139.83397889137268,0
mnist,gru,256,2,True,0.2,0.001,128,adam,15,0.9961,0.9889,132.5132656097412,0
mnist,lstm,128,2,True,0.2,0.001,128,adam,15,0.9937,0.987,81.89530968666077,0
mnist,gru,128,2,True,0.2,0.001,128,adam,15,0.9959,0.9895,78.03283023834229,0
mnist,lstm,256,1,False,0.0,0.001,128,adam,15,0.9936,0.9865,75.29743313789368,0
mnist,gru,256,1,False,0.0,0.001,128,adam,15,0.9954,0.9873,72.76724052429199,0
mnist,lstm,128,1,False,0.0,0.001,128,adam,15,0.9914,0.985,61.41748762130737,0
mnist,gru,128,1,False,0.0,0.001,128,adam,15,0.9936,0.9871,61.08450436592102,0
mnist,rnn,256,2,False,0.2,0.001,128,adam,15,0.9734,0.9745,61.398715019226074,0
mnist,rnn,128,1,False,0.0,0.001,128,adam,15,0.9735,0.973,58.618650674819946,0
