output_bit\input_bit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.5056,0.4932,0.5096,0.4992,0.4960,0.5094,0.4970,0.4972,0.4996,0.5078,0.4946,0.5034,0.4980,0.4936,0.4990,0.5062,0.5162,0.5014,0.5032,0.4982,0.4960,0.5018,0.4974,0.5074,0.5128,0.5022,0.4960,0.5002,0.5094,0.4958,0.4900
1,0.5074,0.4964,0.5008,0.4888,0.4992,0.4922,0.5082,0.4972,0.5102,0.4994,0.4926,0.5068,0.4962,0.5044,0.4976,0.5030,0.5154,0.5046,0.5048,0.4868,0.4832,0.5100,0.4884,0.4912,0.4976,0.5106,0.5016,0.4982,0.4878,0.4972,0.4772
2,0.4978,0.5016,0.4846,0.5006,0.4908,0.4900,0.5020,0.5024,0.4986,0.4924,0.5128,0.5128,0.4924,0.4960,0.4956,0.5104,0.5008,0.4932,0.5014,0.5152,0.4880,0.5020,0.5002,0.4976,0.5012,0.5030,0.5062,0.4980,0.4906,0.4828,0.4930
3,0.4890,0.5130,0.4990,0.5040,0.4914,0.4946,0.4998,0.4856,0.5066,0.4928,0.5104,0.5046,0.4890,0.4892,0.4974,0.5046,0.5038,0.5060,0.4934,0.5108,0.5054,0.4976,0.4986,0.5074,0.5048,0.5020,0.4946,0.4990,0.4968,0.5002,0.4886
4,0.5042,0.4918,0.5066,0.5064,0.5036,0.4988,0.4870,0.5050,0.4902,0.4986,0.4978,0.4946,0.4948,0.4966,0.5002,0.5044,0.4978,0.4940,0.4998,0.4990,0.4888,0.5048,0.5080,0.4964,0.5096,0.5032,0.5016,0.4942,0.5094,0.4886,0.5114
5,0.5122,0.4912,0.4970,0.4912,0.4984,0.5018,0.5030,0.5030,0.5124,0.5054,0.4976,0.4996,0.5040,0.5136,0.4994,0.5104,0.5182,0.5056,0.4942,0.4952,0.5152,0.4970,0.4948,0.5068,0.5052,0.5014,0.4964,0.5012,0.4982,0.5084,0.4976
6,0.4988,0.4936,0.4958,0.4880,0.4992,0.4992,0.5164,0.5204,0.5004,0.4896,0.4962,0.5100,0.5074,0.4946,0.5040,0.4904,0.5064,0.4998,0.4964,0.5118,0.5024,0.4896,0.5016,0.4832,0.4860,0.4946,0.5102,0.4948,0.5160,0.5028,0.4860
7,0.5052,0.5162,0.4960,0.5054,0.5038,0.5024,0.4908,0.5044,0.4988,0.4996,0.5050,0.4928,0.5050,0.5042,0.5036,0.4974,0.4958,0.4964,0.5058,0.5104,0.4870,0.4962,0.5088,0.5042,0.5024,0.5044,0.5000,0.4978,0.4916,0.4926,0.5088
8,0.5102,0.5116,0.5020,0.4978,0.5034,0.5056,0.4948,0.5004,0.5154,0.5060,0.4942,0.5072,0.4958,0.4966,0.4848,0.4974,0.4924,0.4986,0.4998,0.5094,0.5018,0.5054,0.4976,0.4908,0.5054,0.4976,0.4944,0.5110,0.5032,0.4846,0.4980
9,0.5042,0.4992,0.5042,0.5002,0.4846,0.4962,0.5012,0.4994,0.4898,0.4998,0.5116,0.5102,0.5056,0.5116,0.4966,0.5016,0.4924,0.5028,0.4932,0.4928,0.4998,0.4958,0.5030,0.5036,0.4902,0.4920,0.4976,0.5092,0.5042,0.4980,0.5100
