output_bit\input_bit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.3160,0.6250,0.7264,0.5312,0.9386,0.1234,0.2598,0.5230,0.9682,0.0612,0.1274,0.2664,0.5292,0.9476,0.1036,0.2156,0.4362,0.8706,0.2692,0.5288,0.9496,0.1028,0.1952,0.3900,0.8050,0.3928,0.7830,0.4432,0.9064,0.1944,0.3960
1,0.8366,0.3136,0.6430,0.7354,0.5318,0.9416,0.1304,0.2622,0.5082,0.9692,0.0660,0.1314,0.2692,0.5270,0.9482,0.1108,0.2250,0.4326,0.8672,0.2582,0.5262,0.9484,0.1002,0.1946,0.4020,0.8090,0.3884,0.7806,0.4490,0.9042,0.1960
2,0.4144,0.5396,0.6832,0.3644,0.2676,0.4608,0.8066,0.3884,0.7418,0.4928,0.9042,0.1980,0.3948,0.7298,0.4818,0.8426,0.3188,0.6488,0.5646,0.6060,0.7340,0.4744,0.8558,0.2882,0.5990,0.5994,0.4192,0.6156,0.3214,0.5522,0.7036
3,0.7916,0.2622,0.5370,0.8230,0.1286,0.2340,0.3994,0.8090,0.3880,0.7580,0.4542,0.9000,0.1912,0.3798,0.7560,0.4200,0.8390,0.3160,0.6448,0.6934,0.6162,0.7578,0.4336,0.8542,0.2930,0.5888,0.7948,0.4264,0.8420,0.3276,0.6586
4,0.4312,0.8696,0.2646,0.5182,0.9362,0.1146,0.2048,0.3930,0.8016,0.3916,0.7706,0.4494,0.9050,0.1884,0.4008,0.7886,0.4058,0.8454,0.3178,0.6518,0.6986,0.6040,0.7850,0.4198,0.8610,0.2974,0.6026,0.7866,0.4218,0.8388,0.3262
5,0.2176,0.4408,0.8666,0.2580,0.5254,0.9414,0.1054,0.1988,0.4060,0.8094,0.3972,0.7806,0.4372,0.9064,0.1982,0.3942,0.7936,0.4266,0.8454,0.3214,0.6526,0.7054,0.6084,0.7906,0.4500,0.8510,0.2904,0.6076,0.7946,0.4210,0.8366
6,0.1066,0.2240,0.4390,0.8762,0.2686,0.5142,0.9460,0.0992,0.2050,0.3992,0.8032,0.3886,0.7788,0.4544,0.8988,0.2018,0.4076,0.7854,0.4236,0.8406,0.3226,0.6504,0.6950,0.6038,0.7716,0.4330,0.8566,0.3066,0.6030,0.7884,0.4232
7,0.9448,0.1068,0.2148,0.4488,0.8662,0.2624,0.5270,0.9514,0.0980,0.2008,0.3966,0.8092,0.3966,0.7732,0.4510,0.9018,0.2052,0.3890,0.7890,0.4168,0.8452,0.3120,0.6466,0.6990,0.6164,0.7798,0.4280,0.8410,0.2960,0.6014,0.7956
8,0.5190,0.9476,0.1086,0.2196,0.4176,0.8728,0.2546,0.5218,0.9514,0.0940,0.2024,0.4016,0.8046,0.3822,0.7764,0.4488,0.8978,0.1956,0.3966,0.7924,0.4196,0.8434,0.3258,0.6440,0.6886,0.6106,0.7798,0.4234,0.8496,0.2958,0.6062
9,0.2632,0.5270,0.9452,0.1122,0.2094,0.4508,0.8698,0.2646,0.5332,0.9546,0.1006,0.2032,0.4082,0.8080,0.3920,0.7798,0.4390,0.9002,0.1968,0.4024,0.7928,0.4182,0.8348,0.3322,0.6482,0.6956,0.6144,0.7914,0.4192,0.8514,0.3004
