output_bit\input_bit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,0.4948,0.4920,0.5068,0.4962,0.4972,0.4938,0.5014,0.5022,0.4938,0.4980,0.4888,0.4976,0.4874,0.4962,0.4972,0.4936,0.5146,0.4964,0.4956,0.5046,0.5004,0.4992,0.5032,0.4968,0.4912,0.5120,0.4906,0.4890,0.5022,0.4902,0.5004
1,0.5024,0.5090,0.5024,0.4992,0.4976,0.4906,0.4884,0.4950,0.4838,0.4934,0.4958,0.5118,0.5044,0.5026,0.5096,0.5064,0.5106,0.4978,0.4970,0.4994,0.4904,0.5022,0.4936,0.5050,0.4996,0.5080,0.4960,0.4980,0.5050,0.4974,0.5098
2,0.5004,0.4892,0.4980,0.5068,0.5002,0.5048,0.5086,0.5078,0.4930,0.5020,0.4946,0.5050,0.5080,0.5014,0.4886,0.5020,0.4998,0.5040,0.4852,0.4926,0.4976,0.4932,0.5062,0.5024,0.4988,0.4924,0.4984,0.5144,0.4896,0.5022,0.4992
3,0.4982,0.5088,0.4998,0.5086,0.5130,0.4936,0.5002,0.4924,0.5040,0.4964,0.5052,0.5110,0.4954,0.5014,0.4968,0.5056,0.5102,0.5090,0.4820,0.5002,0.5022,0.4960,0.5002,0.4966,0.4966,0.5004,0.4912,0.5072,0.5006,0.4948,0.4968
4,0.4890,0.5014,0.4896,0.4970,0.4958,0.5096,0.4876,0.5004,0.5054,0.4886,0.5030,0.5066,0.5046,0.4938,0.4910,0.5024,0.5008,0.4964,0.5058,0.5014,0.5094,0.5044,0.5178,0.5206,0.5010,0.5172,0.4960,0.4990,0.5050,0.4976,0.5046
5,0.5022,0.4902,0.5036,0.4990,0.4968,0.5010,0.4966,0.5008,0.5022,0.4946,0.4914,0.4982,0.5024,0.5030,0.5076,0.4998,0.4922,0.5062,0.4878,0.4914,0.4944,0.5074,0.4946,0.5038,0.5058,0.5028,0.4804,0.4922,0.5062,0.4970,0.5046
6,0.5088,0.5078,0.5032,0.5050,0.5224,0.4998,0.4986,0.4968,0.5074,0.4856,0.4998,0.5002,0.5010,0.5046,0.5072,0.5042,0.4930,0.4874,0.4966,0.4922,0.4932,0.5002,0.5018,0.5004,0.4922,0.4876,0.5050,0.4866,0.4976,0.4956,0.4922
7,0.4976,0.5026,0.4912,0.5018,0.4936,0.5054,0.4998,0.5032,0.4988,0.4942,0.5072,0.5020,0.4996,0.4900,0.5094,0.4906,0.5024,0.5010,0.5172,0.5114,0.4998,0.5026,0.4908,0.4954,0.5058,0.5000,0.4946,0.5012,0.4950,0.5036,0.5010
8,0.5060,0.4990,0.5108,0.5102,0.4938,0.5056,0.4996,0.5018,0.4876,0.4896,0.5026,0.4950,0.4980,0.5050,0.5032,0.5024,0.5080,0.4978,0.4946,0.4972,0.5076,0.4872,0.4956,0.5006,0.5014,0.4982,0.5018,0.4956,0.4978,0.4872,0.4914
9,0.5086,0.4938,0.5036,0.4942,0.4958,0.4926,0.5060,0.4846,0.5010,0.5044,0.5014,0.5026,0.5032,0.5062,0.4816,0.5056,0.4958,0.4970,0.5042,0.5038,0.5042,0.5014,0.5122,0.5006,0.5208,0.4910,0.5076,0.4898,0.5060,0.5086,0.5060
